,Cadastrais - Nome,Cadastrais - Classe - Nome,Cadastrais - Subclasse - Nome,Adicionais - Código de Barras
2937,"COB BARRA SELECTA NAMUR BLEND 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411811242.0
2938,"COB BARRA SELECTA NAMUR BRANCO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411810382.0
2939,"COB BARRA SELECTA NAMUR M AMARGO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411810399.0
2940,"COB BARRA SELECTA SUPREME AMARGO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891848.0
2941,"COB BARRA SELECTA SUPREME AO LEITE 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411806323.0
2942,"COB BARRA SELECTA SUPREME BLEND 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891770.0
2943,"COB BARRA SELECTA SUPREME BRANCO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411806330.0
2944,"COB BARRA SELECTA SUPREME CARAMELO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891749.0
2945,"COB BARRA SELECTA SUPREME CHOC C/ AVELA 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891732.0
2946,"COB BARRA SELECTA SUPREME M AMARGO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891787.0
2947,"COB BARRA SICAO FACIL AO LEITE 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,20842060444.0
2948,"COB BARRA SICAO FACIL BLEND 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,20842060574.0
2949,"COB BARRA SICAO FACIL MEIO AMARGO 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,20842060789.0
2950,"COB BEL CONF CHOCOLATE AO LEITE 1,01KG",PRODUTOS,PEC - ENGRENAGEM,7896066764429.0
2951,"COB BEL CONF CHOCOLATE BRANCO 1,01KG",PRODUTOS,PEC - ENGRENAGEM,7896066764443.0
2952,"COB BEL CONF CHOCOLATE MEIO AMARGO 1,01KG",PRODUTOS,PEC - ENGRENAGEM,7896066764436.0
2953,COB CARAMELO FLEISCHMANN BD 4KG,PRODUTOS,PEC - ENGRENAGEM,
2954,COB DE CARAMELO MAURI BD 4KG,PRODUTOS,PEC - ENGRENAGEM,
2955,COB DE CHOCOLATE MAURI BD 4KG,PRODUTOS,PEC - ENGRENAGEM,
2956,COB DE FRUTAS VERMELHAS FLEISCHMANN BD 4KG,PRODUTOS,PEC - ENGRENAGEM,
2957,COB DE FRUTAS VERMELHAS MAURI BD 4KG,PRODUTOS,PEC - ENGRENAGEM,
2958,COB FLM CHOC 4KG,PRODUTOS,PROD - COBERTURA LIQUIDA,7898409953033.0
2959,COB FLM FONDANT 2KG,PRODUTOS,PROD - DOCES RECHEIOS,7898409951282.0
2960,COB FRAC ALISPEC BARRA AO LEITE 1KG (UND),PRODUTOS,PEC - ENGRENAGEM,
2961,COB FRAC ALISPEC BARRA BRANCA 1KG (UND),PRODUTOS,PEC - ENGRENAGEM,
2962,COB FRAC ALISPEC BARRA MEIO AMARGA 1KG,PRODUTOS,PEC - ENGRENAGEM,
2963,"Cob Frac Prem sab chocol amarg Mavalério 2,1Kg",PRODUTOS,PEC - ENGRENAGEM,
2964,COB GOTA HARALD TOP AO LEITE 1KG,PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837324.0
2965,"COB GOTA HARALD TOP AVELA 1,02KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837348.0
2966,"COB GOTA HARALD TOP BLEND 1,02KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837331.0
2967,COB GOTA HARALD TOP BRANCO 1KG,PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837317.0
2968,"COB GOTA HARALD TOP CARAMELO 1,010KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077838116.0
2969,COB GOTA HARALD TOP INTENSO 1KG,PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837355.0
2970,COB GOTA HARALD TOP MEIO AMARGO 1KG,PRODUTOS,PROD - CHOC BARRA/GOTA,
2971,COB GOTA HARALD TOP MEIO AMARGO 1KG,PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837300.0
2972,"COB GOTA HARALD TOP MILK 1,010KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077837423.0
2973,COB GOTA MELKEN CHOC BELGA 400G,PRODUTOS,PROD - CHOC BARRA/GOTA,7897077836488.0
2974,"COB GOTA SELECTA PREMIUM BLEND 2,01KG ",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411896539.0
2975,"COB GOTA SELECTA PREMIUM BRANCO 2,01KG ",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411896553.0
2976,"COB GOTA SELECTA PREMIUM CHOC AO LEITE 2,01KG ",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411896522.0
2977,"COB GOTA SELECTA PREMIUM M AMARGO 2,01KG ",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411896546.0
2978,"COB GOTA SELECTA SUPREME CHOC AO LEITE 1,01KG ",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891855.0
2979,"COB GOTA SELECTA SUPREME CHOC BLEND 1,01KG ",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891879.0
2980,"COB GOTA SELECTA SUPREME CHOC BRANCO 1,01KG ",PRODUTOS,PROD - CHOC BARRA/GOTA,7896411891893.0
2981,"COB GOTA SELECTA SUPREME CHOCOCHIPS CHOC 1,01KG ",PRODUTOS,PROD - GRANULADOS,7896411891695.0
2982,"COB GOTAS  HARALD TOP PISTACHE 1,01KG",PRODUTOS,PROD - CHOC BARRA/GOTA,7897077838598.0
2983,COB GOTAS HARALD TOP MILK (FRAC) 250G,PRODUTOS,PROD - GRANULADOS,
2984,COB HARALD CHIPS CHOC. AO LEITE 10KG,PRODUTOS,PEC - ENGRENAGEM,7897077806365.0
2985,COB HARALD CHIPS CHOC. AO LEITE 500G,PRODUTOS,PEC - ENGRENAGEM,
2986,"COB HARALD CONF  BRANCO 2,3KG",PRODUTOS,PEC - ENGRENAGEM,7897077804661.0
