,Cadastrais - Nome,Cadastrais - Classe - Nome,Cadastrais - Subclasse - Nome,Adicionais - Código de Barras
6964,FUNDO RENDADO BRINK FESTA 09CM AZULAO 100 UND,PRODUTOS,PEC - ENGRENAGEM,7898064379421.0
6965,FUNDO RENDADO BRINK FESTA 09CM BRANCO 100 UND,PRODUTOS,PEC - ENGRENAGEM,
6966,FUNDO RENDADO BRINK FESTA 09CM LARANJA 100 UND,PRODUTOS,PEC - ENGRENAGEM,
6967,FUNDO RENDADO BRINK FESTA 09CM LILAS 100 UND,PRODUTOS,PEC - ENGRENAGEM,
6968,FUNDO RENDADO BRINK FESTA 09CM LIMAO 100 UND,PRODUTOS,PEC - ENGRENAGEM,7898064375416.0
6969,FUNDO RENDADO BRINK FESTA 09CM PINK 100 UND,PRODUTOS,PEC - ENGRENAGEM,
6970,FUNDO RENDADO BRINK FESTA 09CM PRETO 100 UND,PRODUTOS,PEC - ENGRENAGEM,7898064378189.0
6971,FUNDO RENDADO BRINK FESTA 09CM ROSA 100 UND,PRODUTOS,PEC - ENGRENAGEM,
6972,FUNDO RENDADO BRINK FESTA 09CM VERDE 100 UND,PRODUTOS,PEC - ENGRENAGEM,7898064372835.0
6973,FUNDO RENDADO BRINK FESTA 09CM VERMELHO 100 UND,PRODUTOS,PEC - ENGRENAGEM,
6974,FUNDO RENDADO BRINK FESTA 7CM TRANSPARENTE 100 UND,PRODUTOS,PEC - ENGRENAGEM,
6995,"GANACHE CHOCOLATE BRANCO DARK 4UNDx2,3G GFN",PRODUTOS,PROD - CHOCOLATE PO,
6996,"GANACHE GRANFINALE CHOC DARK 2,3KG",PRODUTOS,PROD - COBERTURA LIQUIDA,7898331012723.0
6997,GANACHE MAURI AO LEITE 4Kg,PRODUTOS,PEC - ENGRENAGEM,
6998,GANACHE MAURI BRANCO 4Kg,PRODUTOS,PEC - ENGRENAGEM,
6999,GANACHE MAURI MEIO AMARGO 4Kg,PRODUTOS,PEC - ENGRENAGEM,
7000,GANACHE MELKEN AO LEITE 1KG,PRODUTOS,PROD - COBERTURA LIQUIDA,7897077808362.0
7001,GANACHE MELKEN BRANCO 1KG,PRODUTOS,PROD - COBERTURA LIQUIDA,7897077808386.0
7002,GANACHE MELKEN MEIO AMARGO 1 Kg,PRODUTOS,PROD - COBERTURA LIQUIDA,7897077808379.0
7063,GAS DE COZINHA 13KG,PRODUTOS,PROD - PRODUTOS DIVERSOS,
7074,GEL DE CONFEITEIRO MIX 150G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7897011502493.0
7075,GEL FORNEAVEL CONFEITEIRO MORANGO HARALD,PRODUTOS,PEC - ENGRENAGEM,
7076,GEL FORNEAVEL HARALD CONFEITEIRO MARACUJA ,PRODUTOS,PEC - ENGRENAGEM,
7077,GEL MIX DOURADO P/ REVEST E DECOR 10G,PRODUTOS,PEC - ENGRENAGEM,
7085,GELATINA FLM INCOLOR 24G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898409952173.0
7086,GELATINA INCOLOR GRANFINALE 24G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898331013232.0
7087,GELATINA PO NEUTRA ARCOLOR 50G,PRODUTOS,PEC - ENGRENAGEM,7896226311012.0
7088,GELATINA PO NEUTRA MIX 50G,PRODUTOS,ACES - ACESS DIVERSOS,7897011502943.0
7089,GELATINA PO ROYAL S/SABOR 24G,PRODUTOS,PROD - PRODUTOS DIVERSOS,
7090,GELATINA S/ SABOR QUALIMAX 510G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7891122123318.0
7091,GELATINA SEM SABOR INCOLOR 24G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7893333229001.0
7092,"GELEIA BRILHO AUREA CHOCOLATE  1,01KG",PRODUTOS,PROD - COBERTURA LIQUIDA,7896180786727.0
7093,"GELEIA BRILHO AUREA MORANGO 1,01KG",PRODUTOS,PROD - COBERTURA LIQUIDA,7896180785577.0
7094,"GELEIA BRILHO AUREA NEUTRO 1,01KG",PRODUTOS,PROD - COBERTURA LIQUIDA,7896180785584.0
7095,GELEIA BRILHO FLM MARACUJA C/S 4KG,PRODUTOS,PROD - COBERTURA LIQUIDA,7898409953026.0
7096,GELEIA BRILHO FLM MORANGO C/S 4KG,PRODUTOS,PROD - COBERTURA LIQUIDA,7898409953019.0
7097,GELEIA BRILHO FLM MORANGO S/S 4KG,PRODUTOS,PROD - COBERTURA LIQUIDA,7898409953217.0
7098,GELEIA BRILHO FLM NEUTRO 4KG,PRODUTOS,PROD - COBERTURA LIQUIDA,7898409953002.0
7099,GELEIA BRILHO MIX 140G,PRODUTOS,PEC - ENGRENAGEM,7897011514113.0
7100,GELEIA BRILHO MIX 1KG,PRODUTOS,PEC - ENGRENAGEM,7897011505012.0
7101,Geleia de brilho morango balde 4Kg,PRODUTOS,PEC - ENGRENAGEM,
7102,Geleia de brilho morango S/SEMENTES balde 4Kg,PRODUTOS,PEC - ENGRENAGEM,
7103,GELEIA DIET BOM SABOR ABA/GOI BLISTER 144UND,PRODUTOS,PEC - ENGRENAGEM,
7104,GELEIA SORT. BOM SABOR GOI/MOR BLISTER  144UND,PRODUTOS,PEC - ENGRENAGEM,
7105,GEMA DE OVO FLEICHEGGS PAST. RESFRIADO 1Kg,PRODUTOS,PROD - OVOS PASTEURIZADOS,7898331010057.0
7110,GERGELIM BRANCO 100G,PRODUTOS,PROD - FRUTAS/GRAOS,
7111,GERGELIM BRANCO 25KG,PRODUTOS,PROD - FRUTAS/GRAOS,
7112,GERGELIM BRANCO IMP (FRAC) 1KG,PRODUTOS,PROD - FRUTAS/GRAOS,
7113,GERGELIM BRANCO INDIANO 5KG,PRODUTOS,PROD - FRUTAS/GRAOS,
7114,"GERGELIM BRANCO SEM CASCA 10x0,500G",PRODUTOS,PEC - ENGRENAGEM,
7115,Gergelim despeliculado 1Kg,PRODUTOS,PEC - ENGRENAGEM,
7116,GERGELIM INDIANO CLARO 1Kg,PRODUTOS,PEC - ENGRENAGEM,
7117,"GERGELIM LAVIVA BRANCO 1,01KG",PRODUTOS,PROD - FRUTAS/GRAOS,7908298045259.0
7118,"GERGELIM LAVIVA PRETO 1,01KG",PRODUTOS,PROD - FRUTAS/GRAOS,7908298045204.0
7119,GERGELIM PRETO 25KG,PRODUTOS,PROD - FRUTAS/GRAOS,
7120,GERGELIM PRETO IMP (FRAC) 1KG,PRODUTOS,PROD - FRUTAS/GRAOS,
7121,GERGELIM RETALHO,PRODUTOS,PEC - ENGRENAGEM,
7122,Gergelim sem casca Branco 1Kg,PRODUTOS,PEC - ENGRENAGEM,
7123,GERGELIM TAAZA DESPELICULADO  1Kg,PRODUTOS,PEC - ENGRENAGEM,
7124,GLACE  REAL MAVALERIO 1KG,PRODUTOS,PEC - ENGRENAGEM,
7125,GLACE MARMORE ARCOLOR 800G,PRODUTOS,PEC - ENGRENAGEM,
7126,GLACE REAL MIX 1KG,PRODUTOS,PROD - PRODUTOS DIVERSOS,7897011514366.0
7127,GLACE REAL PO ICEBERG 500G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898329015422.0
7128,GLACE REAL PO MIX 1KG,PRODUTOS,PROD - PRODUTOS DIVERSOS,7897011501892.0
7129,GLICERINA BIDESTILADA ARCOLOR 40G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7896226302461.0
7130,GLICERINA SUGAR ART 60G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898956779520.0
7131,GLICOSE MANDIOCA YOKI 350G,PRODUTOS,PROD - PRODUTOS DIVERSOS,
7132,GLITTER ALIMENTICIO ART DECOR AZUL CLARO 5G,PRODUTOS,PROD - GLITER E PO,736532186270.0
7133,GLITTER ALIMENTICIO ART DECOR AZUL ESC 5G,PRODUTOS,PROD - GLITER E PO,736532186287.0
7134,GLITTER ALIMENTICIO ART DECOR BRONZE 5G,PRODUTOS,PROD - GLITER E PO,736532186294.0
7135,GLITTER ALIMENTICIO ART DECOR CRISTAL 5G,PRODUTOS,PROD - GLITER E PO,736532186317.0
7136,GLITTER ALIMENTICIO ART DECOR OURO 5G,PRODUTOS,PROD - GLITER E PO,736532186362.0
7137,GLITTER ALIMENTICIO ART DECOR OURO CLARO 5G,PRODUTOS,PROD - GLITER E PO,736532186379.0
7138,GLITTER ALIMENTICIO ART DECOR PEROLADO 5G,PRODUTOS,PROD - GLITER E PO,736532186386.0
7139,GLITTER ALIMENTICIO ART DECOR PINK 5G,PRODUTOS,PROD - GLITER E PO,736532186393.0
7140,GLITTER ALIMENTICIO ART DECOR PRATA 5G,PRODUTOS,PROD - GLITER E PO,736532186416.0
7141,GLITTER ALIMENTICIO ART DECOR PRETO 5G,PRODUTOS,PROD - GLITER E PO,736532186423.0
7142,GLITTER ALIMENTICIO ART DECOR ROSA CHICLETE 5G,PRODUTOS,PROD - GLITER E PO,736532186409.0
7143,GLITTER ALIMENTICIO ART DECOR VERDE ESMER 5G,PRODUTOS,PROD - GLITER E PO,736532186751.0
7144,GLITTER ALIMENTICIO ART DECOR VERDE OLIVA 5G,PRODUTOS,PROD - GLITER E PO,736532186454.0
7145,GLITTER ALIMENTICIO ART DECOR VERMELHO 5G,PRODUTOS,PROD - GLITER E PO,736532186461.0
7146,GLITTER ALIMENTICIO GLOW SHINE  PINK NEON 5G,PRODUTOS,PROD - GLITER E PO,7898329016603.0
7147,GLITTER ALIMENTICIO GLOW SHINE AZUL 5G,PRODUTOS,PROD - GLITER E PO,7898329016696.0
7148,GLITTER ALIMENTICIO GLOW SHINE COBRE 5G,PRODUTOS,PROD - GLITER E PO,7898329016771.0
7149,GLITTER ALIMENTICIO GLOW SHINE DOURADO VERD 40G,PRODUTOS,PROD - GLITER E PO,7898329017921.0
7150,GLITTER ALIMENTICIO GLOW SHINE DOURADO VERDADEI 5G,PRODUTOS,PROD - GLITER E PO,7898329016757.0
7151,GLITTER ALIMENTICIO GLOW SHINE MAGENTA 5G,PRODUTOS,PROD - GLITER E PO,7898329016702.0
7152,GLITTER ALIMENTICIO GLOW SHINE NUDE ROSE 5G,PRODUTOS,PROD - GLITER E PO,7898329016719.0
7153,GLITTER ALIMENTICIO GLOW SHINE OURO 5G,PRODUTOS,PROD - GLITER E PO,7898329016641.0
7154,GLITTER ALIMENTICIO GLOW SHINE PINK ROSADO 5G,PRODUTOS,PROD - GLITER E PO,7898329016764.0
7155,GLITTER ALIMENTICIO GLOW SHINE PRATA 40G,PRODUTOS,PROD - GLITER E PO,7898329017938.0
7156,GLITTER ALIMENTICIO GLOW SHINE PRATA HOLOGRAF 5G,PRODUTOS,PROD - GLITER E PO,7898329016658.0
7157,GLITTER ALIMENTICIO GLOW SHINE PRETO 5G,PRODUTOS,PROD - GLITER E PO,7898329016610.0
7158,GLITTER ALIMENTICIO GLOW SHINE ROSA 5G,PRODUTOS,PROD - GLITER E PO,7898329016672.0
7159,GLITTER ALIMENTICIO GLOW SHINE VERDE 5G,PRODUTOS,PROD - GLITER E PO,7898329016627.0
7160,GLITTER ALIMENTICIO GLOW SHINE VERMELHO 5G,PRODUTOS,PROD - GLITER E PO,7898329016634.0
7161,GLITTER ALIMENTICIO SHINE  PISCA 5G,PRODUTOS,PROD - GLITER E PO,7898329016689.0
7162,GLITTER ALIMENTICIO SHINE  PRETO 5G,PRODUTOS,PROD - GLITER E PO,7898967226297.0
7163,GLITTER ALIMENTICIO SHINE CHAMPAGNE 5G,PRODUTOS,PROD - GLITER E PO,7898967226235.0
7164,GLITTER ALIMENTICIO SHINE CRISTAL 5G,PRODUTOS,PROD - GLITER E PO,7898329017020.0
7165,GLITTER ALIMENTICIO SHINE NUDE ROSE 5G,PRODUTOS,PROD - GLITER E PO,7898967226334.0
7166,GLITTER ALIMENTICIO SUGAR ART AZUL 5G,PRODUTOS,PROD - GLITER E PO,7898956779292.0
7167,GLITTER ALIMENTICIO SUGAR ART AZUL MAR HOL 5G,PRODUTOS,PROD - GLITER E PO,7898956779438.0
7168,GLITTER ALIMENTICIO SUGAR ART AZUL NEON 5G,PRODUTOS,PROD - GLITER E PO,7898956779483.0
7169,GLITTER ALIMENTICIO SUGAR ART LARANJA HOL 5G,PRODUTOS,PROD - GLITER E PO,7898956779407.0
7170,GLITTER ALIMENTICIO SUGAR ART LILAS 5G,PRODUTOS,PROD - GLITER E PO,7898956779490.0
7171,GLITTER ALIMENTICIO SUGAR ART MAGENTA 5G,PRODUTOS,PROD - GLITER E PO,7898956779261.0
7172,GLITTER ALIMENTICIO SUGAR ART NUDE ROSE 5G,PRODUTOS,PROD - GLITER E PO,7898956779308.0
7173,GLITTER ALIMENTICIO SUGAR ART OURO 5G,PRODUTOS,PROD - GLITER E PO,7898956779353.0
7174,GLITTER ALIMENTICIO SUGAR ART PEROLA 5G,PRODUTOS,PROD - GLITER E PO,7898956779445.0
7175,GLITTER ALIMENTICIO SUGAR ART PINK NEON 5G,PRODUTOS,PROD - GLITER E PO,7898956779339.0
7176,GLITTER ALIMENTICIO SUGAR ART PRATA HOL 5G,PRODUTOS,PROD - GLITER E PO,7898956779278.0
7177,GLITTER ALIMENTICIO SUGAR ART PRETO 5G,PRODUTOS,PROD - GLITER E PO,7898956779391.0
7178,GLITTER ALIMENTICIO SUGAR ART ROSA HOL 5G,PRODUTOS,PROD - GLITER E PO,7898956779421.0
7179,GLITTER ALIMENTICIO SUGAR ART ROXO 5G,PRODUTOS,PROD - GLITER E PO,7898956779469.0
7180,GLITTER ALIMENTICIO SUGAR ART VERDE 5G,PRODUTOS,PROD - GLITER E PO,7898956779377.0
7181,GLITTER ALIMENTICIO SUGAR ART VERMELHO 5G,PRODUTOS,PROD - GLITER E PO,7898956779384.0
7182,GLITTER DECORACAO MAGO PINK 8G,PRODUTOS,PROD - GLITER E PO,7896301474052.0
7186,GLUCOSE EM PO ICEBERG 50G,PRODUTOS,PROD - PRODUTOS DIVERSOS,7898329013381.0
7187,GLUCOSE PO MARVI 1KG,PRODUTOS,PROD - GLUCOSE,7896068422594.0
7188,GLUCOSE PO MIX 50G ,PRODUTOS,PROD - GLUCOSE,7897011502349.0
7189,GLUCOSE XAROPE ARCOLOR 1KG,PRODUTOS,PROD - GLUCOSE,7896226300979.0
7190,GLUCOSE XAROPE ARCOLOR 250G,PRODUTOS,PROD - GLUCOSE,7896226305295.0
7191,GLUCOSE XAROPE DUPORTO 500G,PRODUTOS,PROD - GLUCOSE,7896395100554.0
7192,GLUCOSE XAROPE DUPORTO 5KG,PRODUTOS,PROD - GLUCOSE,7896395104491.0
7193,GLUCOSE XAROPE ICEBERG 500G,PRODUTOS,PROD - GLUCOSE,7898329016078.0
7194,GLUCOSE XAROPE MIX 1KG,PRODUTOS,PROD - GLUCOSE,
7195,"GOIABADA BARRA TAMBAU 1,01KG",PRODUTOS,PROD - DOCES RECHEIOS,7896945400561.0
7196,GOIABADA BARRA TAMBAU 400G,PRODUTOS,PROD - DOCES RECHEIOS,7896945401964.0
7197,"Goiabada cremosa Guari 4,8Kg",PRODUTOS,PEC - ENGRENAGEM,
7198,GOIABINHA EM CUBINHOS 01Kg,PRODUTOS,PEC - ENGRENAGEM,
7239,"GORD BGE PRO CUKIN FRY BALDE 14,5Kg",PRODUTOS,PEC - ENGRENAGEM,
7240,GORD BUNGE CUKIN FRY PCT 3Kg(SC),PRODUTOS,PEC - ENGRENAGEM,
7241,GORD PROMULT 34 Cx 24Kg,PRODUTOS,PEC - ENGRENAGEM,
7242,GORD. VEG AGROPALMA 180A 15KG (CAIXA),PRODUTOS,PEC - ENGRENAGEM,
7243,GORD. VEG AGROPALMA 370B  24KG (CAIXA),PRODUTOS,PEC - ENGRENAGEM,
7244,"GORD. VEGETAL BUNGE CUKIN 500 BALDE 14,5Kg",PRODUTOS,PEC - ENGRENAGEM,
7245,GORDURA AGROPALMA 370B 20KG,PRODUTOS,PROD - GORDURAS,7898354671426.0
7246,GORDURA BUNGE PRO SANCREME 400  1Kg,PRODUTOS,PEC - ENGRENAGEM,
7247,GORDURA BUNGE PRO SANCREME 400  CX 24Kg,PRODUTOS,PEC - ENGRENAGEM,
7248,"GORDURA CUKIN F-100 LT 16,4Kg",PRODUTOS,PEC - ENGRENAGEM,
7249,"GORDURA CUKIN FRY LT 16,4Kg",PRODUTOS,PEC - ENGRENAGEM,
7250,"GORDURA CUKIN GOLDEN 2,5KG",PRODUTOS,PROD - GORDURAS,7891107113099.0
7251,GORDURA DE PALMA 370B 1kg,PRODUTOS,PEC - ENGRENAGEM,
7252,GORDURA DE PALMA 420B 1Kg,PRODUTOS,PEC - ENGRENAGEM,
7253,GORDURA DE PALMA 420B CX 24Kg,PRODUTOS,PEC - ENGRENAGEM,
7254,GORDURA DE PALMA ELOGIATA 20KG,PRODUTOS,PROD - GORDURAS,7898914796408.0
7255,"GORDURA DE PALMA ELOGIATA BALDE 14,5KG",PRODUTOS,PROD - GORDURAS,
7256,"GORDURA DE PALMA ELOGIATA BALDE 14,5KG",PRODUTOS,PROD - GORDURAS,7898914796439.0
7257,GORDURA ELOGIATA BALDE 3KG,PRODUTOS,PROD - GORDURAS,7898914796422.0
7258,GORDURA FLOR DE PALMA (FRAC) 3 KG,PRODUTOS,PROD - GORDURAS,
7259,GORDURA FLOR DE PALMA BALDE 15KG,PRODUTOS,PROD - GORDURAS,7898914796095.0
7260,GORDURA FLOR DE PALMA BALDE 15KG,PRODUTOS,PROD - GORDURAS,7898914796095.0
7261,GORDURA IANDY PALMA 15KG (BALDE),PRODUTOS,PROD - GORDURAS,7896248101516.0
7262,"GORDURA TAUA BALDE 14,5 KG",PRODUTOS,PROD - GORDURAS,
7263,GORDURA TAUA FRACIONADA 3KG,PRODUTOS,PROD - GORDURAS,40232703805.0
7264,"GORDURA TAUA FRY 14,5KG (BALDE)",PRODUTOS,PROD - GORDURAS,7898354671969.0
7265,GORDURA TOP BIS CX 24Kg,PRODUTOS,PEC - ENGRENAGEM,
7266,GORDURA TOP GEL CX 24Kg,PRODUTOS,PEC - ENGRENAGEM,
7267,GORDURA TOP MASS CX 24Kg,PRODUTOS,PEC - ENGRENAGEM,
7268,GORDURA TOP NUTRI BALDE 15Kg,PRODUTOS,PEC - ENGRENAGEM,
7269,"GORDURA VEG FRITARE 16,4Kg",PRODUTOS,PEC - ENGRENAGEM,
7270,GORDURA VEG ICEBERG P/ PASTA 30G,PRODUTOS,PROD - GORDURAS,7898329015637.0
7271,GORDURA VEG PRIMOR 500G,PRODUTOS,PROD - GORDURAS,7894904271191.0
7272,GORDURA VEG TAUA 500G,PRODUTOS,PROD - GORDURAS,
7273,GORDURA VEGETAL  DORATTA FRY - CAIXA 24KG,PRODUTOS,PROD - GORDURAS,7898354671389.0
7274,GORDURA VEGETAL DE PALMA 3 KG,PRODUTOS,PROD - GORDURAS,
7275,GORDURA VEGETAL FRAC 500G,PRODUTOS,PROD - GORDURAS,
7276,GORDURA VEGETAL MESA 500G,PRODUTOS,PEC - ENGRENAGEM,7896096000849.0
7277,GOTAS CHIPSHOW HARALD AO LEITE (FRAC) 250G,PRODUTOS,PROD - GRANULADOS,
7278,"GOTAS CHIPSHOW HARALD AO LEITE 1,01KG",PRODUTOS,PROD - GRANULADOS,7897077837362.0
7279,GOTAS CHIPSHOW HARALD AVELA (FRAC) 250G,PRODUTOS,PROD - GRANULADOS,
7280,"GOTAS CHIPSHOW HARALD AVELA 1,01KG",PRODUTOS,PROD - GRANULADOS,7897077837386.0
7281,GOTAS CHIPSHOW HARALD CARAMELO (FRAC) 250G,PRODUTOS,PROD - GRANULADOS,
7282,"GOTAS CHIPSHOW HARALD CARAMELO 1,01KG",PRODUTOS,PROD - GRANULADOS,7897077838581.0
7283,GOTAS CHIPSHOW HARALD CHOC BRANCO (FRAC)250G,PRODUTOS,PROD - GRANULADOS,
7284,GOTAS CHIPSHOW HARALD CHOC BRANCO 1KG,PRODUTOS,PROD - GRANULADOS,7897077837379.0
7285,"GOTAS LEVAPAN AO LEITE 1,01KG",PRODUTOS,PROD - GRANULADOS,7898386414442.0
7286,"GOTAS MAVALERIO CHIPSHOW AO LEITE 1,01KG",PRODUTOS,PROD - GRANULADOS,7896072644418.0
7287,"GOTAS PINGO MAVALERIO CHOCOLATE TIPO 2000 2,5Kg",PRODUTOS,PEC - ENGRENAGEM,7896072641905.0
7288,"GOTAS SELECTA BRANCO 1,01KG",PRODUTOS,PROD - GRANULADOS,7896411860516.0
7294,GRANULADO BRANCO  01 KG,PRODUTOS,PEC - ENGRENAGEM,
7295,GRANULADO BRC 1KG,PRODUTOS,PEC - ENGRENAGEM,
7296,GRANULADO CACAU FOODS AMARELO 500G,PRODUTOS,PROD - GRANULADOS,7896497207892.0
7297,GRANULADO CACAU FOODS AZUL 500G,PRODUTOS,PROD - GRANULADOS,7896497207977.0
7298,GRANULADO CACAU FOODS BRANCO 500G,PRODUTOS,PROD - GRANULADOS,7896497207878.0
7299,"GRANULADO CACAU FOODS CHOC CROC 1,005KG",PRODUTOS,PROD - GRANULADOS,7896497202620.0
7300,"GRANULADO CACAU FOODS CHOC MACIO 1,005KG",PRODUTOS,PROD - GRANULADOS,7896497200367.0
7301,GRANULADO CACAU FOODS CHOC MACIO 500G,PRODUTOS,PROD - GRANULADOS,7896497200442.0
7302,GRANULADO CACAU FOODS CHOCOLATE CROC 500G,PRODUTOS,PROD - GRANULADOS,7896497206215.0
7303,GRANULADO CACAU FOODS COLORIDOS 500G,PRODUTOS,PROD - GRANULADOS,7896497201180.0
7304,GRANULADO CACAU FOODS GOURMET 70% CACAU 500G,PRODUTOS,PROD - GRANULADOS,7896497210007.0
7305,GRANULADO CACAU FOODS GOURMET BR E PTO 500G,PRODUTOS,PROD - GRANULADOS,7896497207854.0
7306,GRANULADO CACAU FOODS GOURMET BRANCO 500G,PRODUTOS,PROD - GRANULADOS,7896497203696.0
7307,GRANULADO CACAU FOODS GOURMET CHOC 130G,PRODUTOS,PROD - GRANULADOS,7896497202392.0
7308,GRANULADO CACAU FOODS GOURMET CHOC 500G,PRODUTOS,PROD - GRANULADOS,7896497202385.0
7309,GRANULADO CACAU FOODS MACIO AMARELO 130G,PRODUTOS,PROD - GRANULADOS,7896497207885.0
7310,GRANULADO CACAU FOODS MACIO BRANCO 130G,PRODUTOS,PROD - GRANULADOS,7896497207861.0
7311,GRANULADO CACAU FOODS MACIO BRCO E PRT 130G,PRODUTOS,PROD - GRANULADOS,7896497200718.0
7312,GRANULADO CACAU FOODS MACIO CHOC 130G,PRODUTOS,PROD - GRANULADOS,7896497200374.0
7313,GRANULADO CACAU FOODS MACIO COLORIDO 130G,PRODUTOS,PROD - GRANULADOS,7896497200466.0
7314,GRANULADO CACAU FOODS MACIO ROSA 130G,PRODUTOS,PROD - GRANULADOS,7896497207908.0
7315,GRANULADO CACAU FOODS MACIO VERDE 130G,PRODUTOS,PROD - GRANULADOS,7896497207946.0
7316,GRANULADO CACAU FOODS MACIO VERMELHO 130G,PRODUTOS,PROD - GRANULADOS,7896497207922.0
7317,GRANULADO CACAU FOODS MICANGA BRCO E PRETO 300G,PRODUTOS,PROD - GRANULADOS,7896497208776.0
7318,GRANULADO CACAU FOODS MICANGA COLOR BEBE 300G,PRODUTOS,PROD - GRANULADOS,7896497208851.0
7319,GRANULADO CACAU FOODS MICANGA COLORIDOS 300G,PRODUTOS,PROD - GRANULADOS,7896497208783.0
7320,GRANULADO CACAU FOODS MICANGA COLORIDOS 80G,PRODUTOS,PROD - GRANULADOS,7896497209957.0
7321,GRANULADO CACAU FOODS MICANGA DIVERTIDO 300G,PRODUTOS,PROD - GRANULADOS,7896497208868.0
7322,GRANULADO CACAU FOODS MICANGA PRETO 300G,PRODUTOS,PROD - GRANULADOS,
7323,GRANULADO CACAU FOODS PRETO E BRANCO 500G,PRODUTOS,PROD - GRANULADOS,7896497201203.0
7324,GRANULADO CACAU FOODS ROSA 500G,PRODUTOS,PROD - GRANULADOS,7896497207915.0
7325,GRANULADO CACAU FOODS SABOR CHOCOLATE 120G,PRODUTOS,PROD - GRANULADOS,7896497202712.0
7326,GRANULADO CACAU FOODS VERDE 500G,PRODUTOS,PROD - GRANULADOS,7896497207953.0
7327,GRANULADO CACAU FOODS VERMELHO 500G,PRODUTOS,PROD - GRANULADOS,7896497207939.0
7328,GRANULADO CROCANTE BRANCO 01Kg,PRODUTOS,PEC - ENGRENAGEM,
7329,GRANULADO CROCANTE CHOCOLATE 80G,PRODUTOS,PROD - GRANULADOS,7896497209971.0
7330,Granulado crocante colorido Mil Cores 500g,PRODUTOS,PEC - ENGRENAGEM,
7331,GRANULADO FLM CROCANTE ESC GRAN FINALE 1KG,PRODUTOS,PROD - GRANULADOS,7898331012464.0
7332,GRANULADO FLM MACIO ESC GRAN FINALE 1KG,PRODUTOS,PROD - GRANULADOS,7898331012457.0
7333,GRANULADO HARALD CHIPSHOW 500G,PRODUTOS,PEC - ENGRENAGEM,
7334,"GRANULADO HARALD CHOC CROC 1,01KG",PRODUTOS,PROD - GRANULADOS,7897077838406.0
7335,GRANULADO HARALD CHOC CROC 400G,PRODUTOS,PROD - GRANULADOS,7897077801745.0
7336,"GRANULADO HARALD CHOC MACIO 1,010KG",PRODUTOS,PROD - GRANULADOS,7897077838413.0
7337,"GRANULADO HARALD COLOR CROC 1,01 KG",PRODUTOS,PROD - GRANULADOS,7897077838390.0
7338,GRANULADO HARALD COLOR CROC 400G,PRODUTOS,PROD - GRANULADOS,7897077802513.0
7339,GRANULADO HARALD CROC COLORIDO 80G,PRODUTOS,PEC - ENGRENAGEM,
7340,GRANULADO HARALD CROC ESCURO 150g,PRODUTOS,PEC - ENGRENAGEM,
7341,GRANULADO HARALD CROC MULTICOLOR 1Kg,PRODUTOS,PEC - ENGRENAGEM,
7342,GRANULADO HARALD ESCAMA CHOC 500G,PRODUTOS,PROD - GRANULADOS,7897077808355.0
7343,GRANULADO HARALD MACIO CHOCOLATE AO LEITE 80G,PRODUTOS,PEC - ENGRENAGEM,
7344,GRANULADO HARALD MACIO ESCURO 1Kg,PRODUTOS,PEC - ENGRENAGEM,
7345,GRANULADO ICEBERG MICANGA  AMARELO 80G,PRODUTOS,PROD - GRANULADOS,7898329017440.0
7346,GRANULADO ICEBERG MICANGA  AZUL 80G,PRODUTOS,PROD - GRANULADOS,7898329017617.0
7347,GRANULADO ICEBERG MICANGA  AZUL TURQUESA 80G,PRODUTOS,PROD - GRANULADOS,7898329017488.0
7348,GRANULADO ICEBERG MICANGA  COLORIDO 80G,PRODUTOS,PROD - GRANULADOS,7898329017747.0
7349,GRANULADO ICEBERG MICANGA  DOURADO 80G,PRODUTOS,PROD - GRANULADOS,7898329017501.0
7350,GRANULADO ICEBERG MICANGA  LILAS 80G,PRODUTOS,PROD - GRANULADOS,7898329017464.0
7351,GRANULADO ICEBERG MICANGA  PEROLADO 500G,PRODUTOS,PROD - GRANULADOS,7898329017518.0
7352,GRANULADO ICEBERG MICANGA  PEROLADO 80G,PRODUTOS,PROD - GRANULADOS,7898329017433.0
7353,GRANULADO ICEBERG MICANGA  ROSA 80G,PRODUTOS,PROD - GRANULADOS,7898329017600.0
7354,GRANULADO ICEBERG MICANGA  VERDE 80G,PRODUTOS,PROD - GRANULADOS,7898329017457.0
7355,GRANULADO ICEBERG MICANGA DOURADO 500G,PRODUTOS,PROD - GRANULADOS,7898329017587.0
7356,GRANULADO ICEBERG MICANGA NATAL 80G,PRODUTOS,PROD - GRANULADOS,7898329017907.0
7357,GRANULADO JAZAM CHOCOMAIS 500G,PRODUTOS,PROD - GRANULADOS,7896383073044.0
7358,"GRANULADO JUNCO CROC 1,01G",PRODUTOS,PROD - GRANULADOS,7897011509669.0
7359,GRANULADO JUNCO CROC 500G,PRODUTOS,PROD - GRANULADOS,7896523145150.0
