,Cadastrais - Nome
939,BALANÇA CARGO-INOX 10Kg
941,Balança Elet Filizola  CS 15 BAT
942,Balança Elet Filizola  CS 15 LCD
943,Balança Elet. Comput. 15Kg C15 esp.
945,BALANÇA ELGIN 15Kg
946,BALANÇA FILIZOLA 15 Kg SÓ PESO
947,BALANÇA FILIZOLA 150Kg
948,BALANÇA FILIZOLA 15Kg VERMELHA
949,BALANÇA FILIZOLA PEQ VERMELHA
950,BALANÇA GOTA 5Kg
951,BALANÇA PLATAFORMA PL 300 30A
952,BALANÇA RAMUZA DCR CL 15Kg
953,BALANÇA SEMI-ROBERVAL 15Kg
954,BALANCA TOLEDO PESADORA 15Kg
955,BALANCA TOLEDO PRIX 3FIT 15Kg
956,BALANCA UPX BLUE 300x340mm C/ COL 60 KG
957,BALANCA UPX BLUE 450x600mm C/COL 300 KG
958,BALANCA UPX BLUE IND REMOTO 300 KG
959,BALANCA UPX BLUE IND REMOTO 440x600mm 300 KG
960,BALANCA UPX C/ BATERIA EA-20 KG
961,BALANCA UPX COMPUTADORA ACQUA 15 PREMIUM 
962,BALANCA UPX COMPUTADORA ACQUA 30 PREMIUM 
963,BALANCA UPX COMPUTADORA ACQUA 30 PREMIUM
964,BALANCA UPX COMPUTADORA ACQUA 30 SOLUTION
965,BALANCA UPX COMPUTADORA EA-15 C/BATERIA 
966,BALANCA UPX COMPUTADORA EA-20 C/ BANDEJA
967,BALANCA UPX COMPUTADORA EA-20 C/ BATERIA
968,BALANCA UPX COMPUTADORA EA-32 C/ BATERIA
969,BALANCA UPX COMPUTADORA WIND 30
970,BALANCA UPX COMPUTADORA WIND 30 SUPER
971,BALANCA UPX COMPUTADORA WIND 32 D3
972,BALANCA UPX COMPUTADORA WIND 32 D3.
973,BALANÇA URANO C/BATERIA 15Kg
974,BALANÇA URANO C/BATERIA 20Kg
996,BALCAO 800 NATURAL COM LED
997,Balcão auto serviço 3 portas frente inox
998,BALCÃO CAIXA  BAC-PA
999,"BALCÃO CAIXA GRANITO VIDRO CURVO 0,8m"
1000,"BALCAO CARNES TERMISA VERTICAL 2,0 M"
1001,"BALCÃO DE CARNE BANDEJA 1,5m"
1002,BALCÃO DE CARNES TENDAL 3M
1003,BALCAO ELETROFRIO 1300 V RETO NATURAL
1004,"BALCÃO EXPOSITOR DE CARNE GELOPAR 1,5M"
1005,"Balcão frig Racional 1,75 VReto 2 Placas GBDR-172B"
1006,"BALCAO FRIG UNIV GELOPAR 2P VITALIS 1,72M 220v"
1007,Balcão frig. pop duplex GCPD-200 Gelopar
1008,"Balcão gelado modular BGM-1202 1,2m 220v"
1009,BALCAO GELOPAR 1400 NATURAL V CURVO
1010,BALCAO GELOPAR 1400 TORTAS V CURVO
1011,BALCAO GELOPAR 700 REFRIGERADO TORTAS
1012,BALCAO ILHA SO ACO 2M
1013,BALCAO MODELO MOVEIS 1200 V RETO NATURAL
1014,BALCAO MODELO MOVEIS 1500 V RETO NATURAL
1015,BALCAO MODELO MOVEIS 700 CAIXA V CURVO
1016,BALCAO MODELO MOVEIS 700 CAIXA V RETO
1017,BALCAO MODELO MOVEIS 700 CURVO INOX NATURAL
1018,BALCAO MODELO MOVEIS 700 CURVO INOX NATURAL
1019,BALCAO MODELO MOVEIS 700 REFRIGERADO V CURVO
1020,BALCAO MODELO MOVEIS 700 V RETO NATURAL
1021,BALCÃO MODULAR NATURAL BNM 120
1022,"BALCAO NAT ACABAMENTO GRANITO 1,2M"
1023,"BALCAO NAT ACABAMENTO GRANITO 1,5M"
1024,"BALCÃO NAT MOD DESM 1,20 PORTA"
1025,"BALCÃO NAT MOD DESM 1,20 VIDROS"
1026,Balcão natural modular BNM-200
1027,BALCAO RECFRIO 1200 REFRIGERADO V. CURVO
1028,"BALCAO REF ACABAMENTO GRANITO 1,2M"
1029,"BALCAO REFRIGERADO TENDAL INOX. V.CURVO 1,5M"
1030,BALCAO REFRIMATE 1200 NATURAL
1031,BALCAO REFRIMATE 1500 REFRIGERADO TORTAS
1032,BALCAO REFRIMATE 2000 NATURAL V. CURVO
1033,BALCÃO REFRIMATE 700 CAIXA V. CURVO
1034,"BALCAO REFRIMATE QUEN SUPER TOP PLATNUM 1,5M"
1035,"BALCAO REFRIMATE REFR SUPER TOP PLATINUM 1,0M"
1036,"BALCAO REFRIMATE REFR SUPER TOP PLATINUM 1,5M"
1037,"BALCAO REFRIMATE SECA SUPER TOP PLATINUM 1,5M"
1038,BALCAO REFRIMATE SECA SUPER TOP PLATINUM 1M
1039,BALCAO REFRIMATE SECA SUPER TOP PLATINUM CURVA
1040,BALCAO SO ACO 1200 REFRIGERADO V RETO
1041,BALCÃO SO ACO 1500 NATURAL V CURVO
1042,"BALCAO SO ACO REFRIG. TENDAL INOX. V.CURVO 1,5M"
1043,BALCAO SO ACO REFRIG. TENDAL INOX. V.CURVO 2M
1044,BALCAO SOACO 1200 GELADO V.SEMI CURVO INOX
1045,BALCAO SOACO 1200 NATURAL V RETO STANDER
1046,BALCAO SOACO 1200 NATURAL V. CURVO MODULAR.
1047,BALCAO SOACO 1200 NATURAL V. RETO MODULAR.
1048,BALCAO SOACO 1200 NATURAL V. RETO STANDER
1049,BALCAO SOACO 1200 NATURAL V.SEMI CURVO INOX
1050,BALCAO SOACO 1200 NATURAL VIDRO RETO INOX
1051,BALCAO SOACO 1200 QUENTE V.SEMI CURVO INOX
1052,BALCAO SOACO 1200 TORTAS V.SEMI CURVO INOX
1053,BALCAO SOACO 1500 NATURAL V RETO STANDER
1054,BALCÃO SOACO 1500 NATURAL V. RETO MODULAR
1055,BALCAO SOACO 1500 NATURAL V. RETO STANDER
1056,BALCAO SOACO 1500 NATURAL V.SEMI CURVO INOX
1057,BALCAO SOACO 1500 REFRIGERADO V RETO
1058,BALCAO SOACO 2000 NATURAL V. RETO MODULAR
1059,BALCAO SOACO 2000 NATURAL V. RETO MODULAR
1060,BALCAO SOACO 2000 NATURAL V.SEMI CURVO INOX
1061,BALCAO SOACO 700 CAIXA V RETO STANDER
1062,BALCAO SOACO 700 CAIXA V. RETO STANDER
1063,BALCAO SOACO 700 CAIXA V.SEMI CURVO INOX
1064,BALCAO SOACO 700 CAIXA V.SEMI CURVO INOX
1065,BALCAO SOACO 700 CAIXA VIDRO RETO INOX
1066,BALCAO SOACO 700 NATURAL V RETO
1067,BALCAO SOACO 700 NATURAL V RETO MODULAR
1068,BALCAO SOACO 700 NATURAL V RETO STANDER
1069,BALCAO SOACO 700 NATURAL V. CURVO MODULAR
1070,BALCAO SOACO 700 REFRIGERADO V RETO
1071,BALCAO SOACO 700 REFRIGERADO V RETO
1072,"BALCAO SOACO REFRIG. TENDAL INOX. V.CURVO 1,5M"
1073,"BALCÃO TERMISA 1,25 NATURAL V. RETO INOX"
1074,BALCÃO TERMISA 1200 NATURAL V.  SEMI CURVO
1075,BALCÃO TERMISA 1200 NATURAL V. CURVO
1076,BALCÃO TERMISA 1200 NATURAL V. RETO
1077,BALCAO TERMISA 1250 V RETO NATURAL
1078,BALCAO TERMISA 1500 NATURAL V CURVO
1079,BALCAO TERMISA 2000 GELADO V. RETO
1080,BALCAO TERMISA 2000 NATURAL V RETO
1081,BALCÃO TERMISA 2000 NATURAL V. CURVO
1082,BALCAO TERMISA 2000 REFRIGERADO V RETO
1083,BALCAO TERMISA 700 REFRIGERADO TORTAS
1084,BALCÃO TERMISA CANTO NAT VIDRO RETO
1085,Balcão V estufa c/01p med:210mts v curvo mod p pad
1086,"Balcão V estufa c/1porta 0,70m stander PAD/SUP"
1087,"Balcão V estufa c/1porta 1,20m stander PAD/SUP"
1088,"Balcão V estufa caixa 0,70m stander PAD/SUP"
1089,Balcão V estufa4 portas PAD/SUP
1090,BALCAO VIT EST C/03 PORTA V RETO 200m GELADO
1091,"Balcão vit est c/1porta 1,2m c/marmore p/pad"
1092,Balcão vit estufa c/2band inox v reto pad
1093,Balcão vit estufa c/3band inox v reto pad
1094,"Balcão vit estufa c/3p c/band 1,2m V. reto PAD/SUP"
1095,"Balcão vit estufa c/3p c/band 1,5m V. reto PAD/SUP"
1096,Balcão vit estufa c/3p c/band 2m V. reto PAD/SUP
1097,Balcão vit estufa c/4band inox v reto pad
1098,Balcão vit estufa c/6band inox v reto pad
1099,Balcão vit estufa c/8band inox v reto pad
1100,"Balcão vit estufa c/8bd inox v reto 1,10m pad"
1101,"Balcão vit gelada 1,30 v. reto"
1102,BALCAO VITR.  SO ACO 03 PORT  VID. CURVO 120 CM
1103,BALCAO VITR.  SO ACO 03 PORT  VID. CURVO 150 CM
1104,"BALCAO VITR.  SO ACO 03 PORT  VID. CURVO MD- 0,70"
1105,"BALCAO VITR.EST SO ACO 03 PORT  VID. RETO 0,70 CM"
1106,BALCÃO VITRINE DE CANTO GELOPAR
1108,"BALCÃO VITRINE GELOPAR 1,5MT"
1109,BALCÃO VITRINE GELOPAR 2MT
1111,BALCÃO VITRINE NATURAL BUN-120
1112,"BALCAO VITRINE SO ACO  MODULAR V.RETO 1,50MT"
1113,"Balcão vitrine SÓAÇO 0,70 V. reto"
1114,"Balcão vitrine SÓAÇO 1,30m V reto"
1115,"Balcão vitrine SÓAÇO 2,00m V reto"
1119,Banca Aramada
1120,Bancada de Apoio 900x1900
1155,BANDEJA EMPILHAVEL PISANI P/PÃO
1206,BANHO MARIA 3 CUBAS PORTATIL 220V
1207,BANHO MARIA FRITOMAQ 220V
1208,BANHO MARIA ITAJOBI 3 CUBAS PORTATIL A GAS 
1301,BATED PLANETARIA C/P VENANCIO VBP20P MONO 20L 220V
1302,BATEDEIRA 12 LITROS BRAESI
1303,BATEDEIRA 12 LITROS PASIANI
1304,BATEDEIRA 20L SUPERFECTA
1305,BATEDEIRA BP 05RP EPOXI MONO 200v 60Hz - (8554)
1306,BATEDEIRA BP 18C (12904) SSV1 - MONO 220V 60HZ
1307,BATEDEIRA BP06C G PANIZ
1308,Batedeira BP06C Mono 110/220v 60Hz
1309,Batedeira BP12C mono 110/220
1310,Batedeira BP-20C C/ped  G. Paniz 220V
1311,BATEDEIRA BRAESI 6 LITROS 220V
1312,BATEDEIRA COM CORREIA VARIADORA 40 L
1313,BATEDEIRA COM INVERSOR DE FREQUENCIA 20 L
1314,BATEDEIRA COOPERBAND 20 LITROS
1315,BATEDEIRA COOPERBAND 40 LITROS
1317,BATEDEIRA DE BOLO SIAM UTIL 20L
1318,BATEDEIRA DE BOLO SIRI 12L
1320,BATEDEIRA DE SORVETE BAK-16
1321,BATEDEIRA DE SORVETE BAKL-16
1322,BATEDEIRA DE SORVETE BSAI-16 METVISA
1323,BATEDEIRA DE SORVETE BSK-16
1324,BATEDEIRA DE SORVETE BSN-16
1325,BATEDEIRA ELETRÔNICA BP-12
1326,BATEDEIRA FC2 12LT BALDE INOX
1327,BATEDEIRA G PANIZ 12L BP12R
1328,BATEDEIRA G PANIZ 18 LITROS INV. DE FREQUENCIA
1329,BATEDEIRA G PANIZ BP 12 SSV1 220V 60HZ
1330,BATEDEIRA G PANIZ BPL-12
1331,BATEDEIRA G PANIZ ELETRONICA 12 L BP12R 
1332,BATEDEIRA G. PANIZ BP-12
1333,BATEDEIRA GASTROMAQ 12L
1334,BATEDEIRA HYPPÓLITO HB-25 380v
1335,BATEDEIRA LIEME 12 L
1336,BATEDEIRA LIEME 12L ANTIGA
1337,BATEDEIRA MANA INTELIGENTE PRETA BPM-05
1338,BATEDEIRA MECANICA METVISA BAM 12
1339,BATEDEIRA METALBOSQUE 20 L
1340,BATEDEIRA METVISA 12 LITROS INOX
1341,BATEDEIRA OMESA 40 LITROS + 2 TACHOS
1342,BATEDEIRA PERFECTA 20 L CORREIA
1343,Batedeira Planetária BP-12 6vel Gastromaq
1344,BATEDEIRA PLANETÁRIA BPL-12G PANIZ
1345,Batedeira planetária Gastromaq BP-06 06vel
1346,Batedeira planetária HB-25 380v
1347,BATEDEIRA PLANETARIA VENANCIO 12L 220v
1348,BATEDEIRA PLANETARIA VENANCIO VBP05 MONO 05L 220V
1349,BATEDEIRA SIENSEM  20L 
1350,BATEDEIRA VENANCIO PLANETARIA VBP12 MONO 12L 220V
1358,BATEDOR DE SORVETE BS-16
1379,BATEDOR METVISA DE MILK SHAKE
1380,BATEDOR MILK SHAKE 220V BMS
1393,BEBEDOURO GARAFÃO ESMALTEC PEQ
1394,BEBEDOURO GARRAFÃO ESMALTEC
1395,BEBEDOURO GHI 220v INOX
1396,BEBEDOURO INOX BELLIERE 220V
1397,BEBEDOURO M. MOVEIS IND INOX C/02 TORN 50LT
1398,BEBEDOURO M. MOVEIS IND INOX C/03 TORN 100LT
1399,BEBEDOURO PLI 220v INOX
1400,BEBEDOURO SO ACO 2 TORNEIRAS 80 L
1401,BEBEDOURO SO ACO IND INOX C/03 TORN.CAP.150L
1402,BEBEDOURO SO ACO IND INOX C/04 TORN 120LT
1403,BEBEDOURO SO ACO INOX ACESSIVEL C/4 TORN CAP 180L
1404,BEBEDOURO SOACO IND INOX C/02 TORN 50LT
1405,BEBEDOURO VENANCIO 2 TORNEIRAS 100L
1406,BEBEDOURO VENANCIO INOX  2T RBI10 
1407,BEBEDOURO VENANCIO INOX  2T RBI10 S/FILTRO
1419,BETA 04 BANDEJA PRATA 220V B4
1420,BETA 05 BANDEJA PRATA 220V B5
1740,BOLEADORA DE PÃES ECO 220V
1747,BOMBA INJETORA MASSA DE CHURROS 2L
1751,"BOMBONIERE VIDRAÇA 1,00x0,30 18 DIVISOES"
1752,BOMBONIERE VIDRAÇA 12 DIVISOES
1753,BOMBONIERE VIDRAÇA 6 DIVISOES
1825,BUFFET AQUEC VENANCIO 6 CUBAS 220V
1826,BUFFET AQUEC VENANCIO ALUM CROM EA6TC 220V
1827,BUFFET REFRIMATE RESTAURA. CENTRAL FRIO 12 CUBAS
1828,BUFFET RESTAURANTE CENTRAL QUENTE 12 CUBAS
1829,BUFFET RESTAURANTE CENTRAL QUENTE 12 CUBAS
1831,BUFFET SELF SERVICE 6 CUBAS
1855,CADEIRA CAIXA ENCOSTO POLIPROPILENO
1856,CADEIRA ESCOLAR
1858,CADEIRA SECRETÁRIA ENCOSTO PLÁSTICO
1860,Cafeteira 2L Luxo uinisell Biv
1861,Cafeteira 2L prata 230
1862,CAFETEIRA 6L LUXO CL06PRATA-U230
1974,CAIXA 80cm
2363,CAMARA CRESC. P/PÃES C/TAMPO INOX/MESA 190x90x80
2365,Camara p/cresc de pães p/20assad 4T
2366,CAMARA P/DESC DE PAES ESTUFA P/FERM 20 ASSAD 4T
2367,CAMARA P/DESC DE PAES ESTUFA P/FERM 20 ASSAD 5T
2368,CAMARA P/DESC DE PAES ESTUFA P/FERM 20 ASSAD INOX
2369,Câmara p/desc de pães estufa p/ferm 40 assad 4T
2386,CANO PARA CHAMINÉ 6 METROS
2433,Carrinho p/supermercado desmontável SA vermelho
2434,CARRINHO PICOLÉ REFRISAR
2435,CARRINHO SA P/SUPERMERCADO DESMONTÁVEL AZUL
2436,Carteira escolar
2513,CAVALETE PIZZAGRILL ITAJOBI GIRATORIO 715x425
2576,CERVEJEIRA FRICON PORTA VIDRO  500L
2577,CERVEJEIRA GELOPAR 450L BRANCA GRBA-450PVA
2578,CERVEJEIRA GELOPAR PORTA CEGA 290L
2579,CERVEJEIRA GELOPAR PORTA CEGA 450L PRETA GRBA-450
2580,CERVEJEIRA IMBERA PORTA VIDRO 420L
2581,CERVEJEIRA METALFRIO 2 PORTAS 800 L
2582,CERVEJEIRA METALFRIO 276 L PORTA SÓLIDA
2583,CERVEJEIRA METALFRIO 950L 2 PORTAS
2584,CERVEJEIRA METALFRIO PORTA VIDRO 575L
2585,CERVEJEIRA REFRIMATE 1300L
2586,CERVEJEIRA TERMISA PORTA DE VIDRO 420L
2616,CESTO SA P/GÔNDOLA 40CM C/2 DIVISÓRIAS
2647,CHAPA  BIFETEIRA FERGOLD 68x35CM GAS 
2648,CHAPA  BIFETEIRA GAS PROGAS PR-450
2649,CHAPA  BIFETEIRA GAS PROGAS PR-800
2650,CHAPA  BIFETEIRA PROGAS GAS PR-750
2652,"CHAPA BIFETEIRA EDANCA A GAS 1,2 M"
2653,CHAPA BIFETEIRA GAS (10326) CBG600 L
2654,CHAPA BIFETEIRA GAS (10391) CBG800 L
2655,CHAPA BIFETEIRA GAS CBG1000 L
2656,CHAPA BIFETEIRA MARCHESONI A GÁS 1000mm
2657,CHAPA BIFETEIRA METALCUBAS GAS (10389) CBG1000
2658,CHAPA BIFETEIRA METALCUBAS GAS (10390) CBG1200 QI
2659,CHAPA BIFETEIRA METALCUBAS GAS CBG1200L
2660,CHAPA BIFETEIRA METALCUBAS GAS CBG1500L
2661,CHAPA BIFETEIRA METALCUBAS GAS CBG600 (10353)
2662,CHAPA BIFETEIRA PROGÁS 40x40cm 220V
2663,CHAPA BIFETEIRA PROGAS COM PÉ 100x40MM
2664,CHAPA BIFETEIRA PROGAS COM PÉ INOX 100x40MM
2665,CHAPA BIFETEIRA PROGAS GAS PR-1000
2666,CHAPA BIFETEIRA PROGAS GAS PR-650
2678,CHAPA PROGAS ELETRICA PR-700 220V
2679,CHAPA PROGAS GAS PR-700 
2681,CHAPA VENANCIO A GAS AMERICANA CG120 MOD 120
2682,CHAPA VENANCIO BIFETEIRA GAS 1200
2683,CHAPA VENANCIO BIFETEIRA GAS 1400
2684,CHAPA VENANCIO BIFETEIRA GAS 800
2685,CHAPA VENANCIO ELET ALUM 70A 220V
2686,CHAPA VENANCIO GAS AMERICANA 45- CG45
2687,CHAPA VENANCIO GAS AMERICANA 90-CG90
2688,CHAPA VENANCIO GAS CG60 AMERICANA 60
2689,CHAPA VENANCIO GAS CG60 AMERICANA 60
2690,CHAPA VENANCIO GAS INOX ESCOV C100 MOD 1000
2691,CHAPA VENANCIO GAS INOX ESCOV C120 MOD 1200 
2692,CHAPA VENANCIO GAS INOX ESCOV C140 MOD 1400
2693,CHAPA VENANCIO GAS INOX ESCOV C65 MOD 650
2694,CHAPA VENANCIO GAS INOX ESCOV C80 MOD 800
2695,CHAPA VENANCIO GAS INOX ESCOV. C65P C/PREN MOD650
2697,CHARBROILER GAS PROGAS PRCB800
2698,CHARBROILER VENANCIO GAS CGG60
2736,"CHECK-OUT AÇO P/SUPERM. 1,60M C/PARA-CHOQUE S/SUP"
2737,"CHECK-OUT M MOVEIS PRIMER TAMPO INOX 1,30MT"
2738,"CHECK-OUT P/SUPERM 1,60M C/P-CHOCK E SUPORTE"
2739,"CHECK-OUT P/SUPERM C/PARA-CHOQ 1,3M S/ SUPOR"
2740,"CHECK-OUT P/SUPERM C/PARA-CHOQ 1,3M S/ SUPOR"
2741,CHECK-OUT P/SUPERM C/PARA-CHOQ 2M C/ SUPOR
2742,CHECK-OUT P/SUPERM C/PARA-CHOQ 2M S/ SUPOR
2743,CHECK-OUT SO ACO 2M C/ PARA-CHOQUE
